duration,days_left,is_vistara,is_zero_stops,departure_time_Early_Morning,departure_time_Evening,departure_time_Morning,departure_time_Night,source_city_Chennai,source_city_Delhi,source_city_Hyderabad,source_city_Kolkata,source_city_Mumbai,arrival_time_Early_Morning,arrival_time_Evening,arrival_time_Late_Night,arrival_time_Morning,arrival_time_Night,destination_city_Chennai,destination_city_Delhi,destination_city_Hyderabad,destination_city_Kolkata,destination_city_Mumbai
13.25,46,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10.42,31,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
13.0,28,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
12.67,17,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
13.67,32,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
23.08,11,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22.42,21,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
21.42,45,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
21.25,20,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
25.0,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
25.25,7,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
24.33,31,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
2.08,44,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
22.0,31,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
29.42,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10.83,36,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
6.58,23,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
22.42,46,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2.08,19,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
6.33,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
